"Year","Month","MonthT","Season","RiskRegion","Analyte","n","mean","sd","min","max","FullDate"
"1995","01","Jan","Wet","Suisun Bay","mercury",NA,NA,NA,NA,NA,"1995 01"
"1995","01","Jan","Wet","Confluence","mercury",NA,NA,NA,NA,NA,"1995 01"
"1995","01","Jan","Wet","Sacramento River","mercury",6,0.0166466666666667,0.0143497005775963,0.00264,0.03267,"1995 01"
"1995","01","Jan","Wet","North Delta","mercury",NA,NA,NA,NA,NA,"1995 01"
"1995","01","Jan","Wet","Central Delta","mercury",NA,NA,NA,NA,NA,"1995 01"
"1995","01","Jan","Wet","South Delta","mercury",NA,NA,NA,NA,NA,"1995 01"
"1995","02","Feb","Wet","Suisun Bay","mercury",6,118.158258333333,165.789546208428,0.00097,337.5,"1995 02"
"1995","02","Feb","Wet","Confluence","mercury",4,100.1032925,164.065548328062,0.00657,342.81,"1995 02"
"1995","02","Feb","Wet","Sacramento River","mercury",4,0.00421,0.00625076528648026,0,0.01351,"1995 02"
"1995","02","Feb","Wet","North Delta","mercury",NA,NA,NA,NA,NA,"1995 02"
"1995","02","Feb","Wet","Central Delta","mercury",NA,NA,NA,NA,NA,"1995 02"
"1995","02","Feb","Wet","South Delta","mercury",NA,NA,NA,NA,NA,"1995 02"
"1995","03","Mar","Wet","Suisun Bay","mercury",NA,NA,NA,NA,NA,"1995 03"
"1995","03","Mar","Wet","Confluence","mercury",NA,NA,NA,NA,NA,"1995 03"
"1995","03","Mar","Wet","Sacramento River","mercury",4,0.0148825,0.00910976902378247,0.00174,0.02279,"1995 03"
"1995","03","Mar","Wet","North Delta","mercury",NA,NA,NA,NA,NA,"1995 03"
"1995","03","Mar","Wet","Central Delta","mercury",NA,NA,NA,NA,NA,"1995 03"
"1995","03","Mar","Wet","South Delta","mercury",NA,NA,NA,NA,NA,"1995 03"
"1995","04","Apr","Wet","Suisun Bay","mercury",3,0.0177833333333333,0.0107371240718049,0.00945,0.0299,"1995 04"
"1995","04","Apr","Wet","Confluence","mercury",2,0.00399,0.00469518902707868,0.00067,0.00731,"1995 04"
"1995","04","Apr","Wet","Sacramento River","mercury",4,0.008675,0.0133247601604432,0.00136,0.02865,"1995 04"
"1995","04","Apr","Wet","North Delta","mercury",NA,NA,NA,NA,NA,"1995 04"
"1995","04","Apr","Wet","Central Delta","mercury",NA,NA,NA,NA,NA,"1995 04"
"1995","04","Apr","Wet","South Delta","mercury",NA,NA,NA,NA,NA,"1995 04"
"1995","05","May","Dry","Suisun Bay","mercury",NA,NA,NA,NA,NA,"1995 05"
"1995","05","May","Dry","Confluence","mercury",NA,NA,NA,NA,NA,"1995 05"
"1995","05","May","Dry","Sacramento River","mercury",4,0.00896125,0.00768240020544795,0.00159,0.01651,"1995 05"
"1995","05","May","Dry","North Delta","mercury",NA,NA,NA,NA,NA,"1995 05"
"1995","05","May","Dry","Central Delta","mercury",NA,NA,NA,NA,NA,"1995 05"
"1995","05","May","Dry","South Delta","mercury",NA,NA,NA,NA,NA,"1995 05"
"1995","06","Jun","Dry","Suisun Bay","mercury",NA,NA,NA,NA,NA,"1995 06"
"1995","06","Jun","Dry","Confluence","mercury",NA,NA,NA,NA,NA,"1995 06"
"1995","06","Jun","Dry","Sacramento River","mercury",4,0.0044375,0.00588663103990729,0.00108,0.01325,"1995 06"
"1995","06","Jun","Dry","North Delta","mercury",NA,NA,NA,NA,NA,"1995 06"
"1995","06","Jun","Dry","Central Delta","mercury",NA,NA,NA,NA,NA,"1995 06"
